,Ticker_x,year,EBITDA,Total Debt,Free Cash Flow,Gross Profit Margin,Operating Margin,Net Profit Margin,Return on Equity,Return on Assets,Free Cash Flow to Net Income,Current Ratio,Liabilities to Equity Ratio,Debt Ratio,"Earnings Per Share, Basic","Earnings Per Share, Diluted",Sales Per Share,Equity Per Share,Free Cash Flow Per Share,Pietroski F-Score,Economic growth: the rate of change of real GDP,GDP per capita current U.S. dollars,Inflation: percent change in the Consumer Price Index,Unemployment rate,Net portfolio equity inflows,Economic growth forecast,Inflation forecast,Unemployment rate forecast,Political stability index (-2.5 weak; 2.5 strong),Interest rates on bank credit to the private sector,Open,profit/loss
14,AAP,2013,868113000.0,1053584000.0,855526000.0,0.50081,0.10168,0.06033,0.25838,0.0704,2.18381,1.44293,2.6702,0.18933,5.3717,5.33628,89.04174,20.78987,11.73078,6.0,1.84,53106.54,1.5,7.38,-62642.0,1.84,1.32,7.36,0.64,3.25,82.7,0.3965
15,AAP,2014,1136403000.0,1636893000.0,1051393000.0,0.45243,0.08652,0.05017,0.24655,0.06202,2.12908,1.29735,2.97539,0.20558,6.77103,6.72658,134.97314,27.46273,14.41607,4.0,2.53,55049.99,1.6,6.17,154312.0,2.29,0.52,6.16,0.58,3.25,129.89,1.1933
16,AAP,2015,1095256000.0,1206895000.0,1056787000.0,0.45422,0.08481,0.04862,0.19239,0.05825,2.23234,1.30106,2.30307,0.14849,6.46807,6.42044,133.03755,33.62,14.43895,6.0,3.08,56863.37,0.1,5.28,-187306.0,2.71,0.7,5.28,0.68,3.26,190.28,2.2131
17,AAP,2016,1045985000.0,1042949000.0,828520000.0,0.44482,0.08232,0.04804,0.15761,0.05528,1.80261,1.40715,1.85133,0.12543,6.24809,6.22322,130.06279,39.64264,11.26288,5.0,1.71,58021.4,1.3,4.87,-139700.99,1.67,2.18,4.88,0.4,3.51,148.53,1.5081
18,AAP,2017,819472000.0,1044327000.0,657374000.0,0.4358,0.06083,0.05073,0.13923,0.05606,1.38248,1.55941,1.48369,0.12312,6.43914,6.41621,126.93692,46.24754,8.90196,6.0,2.33,60109.66,2.1,4.36,149634.01,2.26,2.17,4.35,0.29,4.1,99.58,0.6815
19,AAP,2018,842459000.0,1045720000.0,869179000.0,0.44041,0.06307,0.04424,0.11937,0.04688,2.05069,1.56524,1.54608,0.11567,5.74879,5.72836,129.94458,48.16098,11.78899,7.0,3.0,63064.42,2.4,3.9,156916.01,2.92,1.91,3.89,0.42,4.9,169.02,1.8541
20,AAP,2019,915551000.0,747320000.0,665410000.0,0.43823,0.06975,0.05015,0.13719,0.04329,1.36664,1.27198,2.16942,0.06644,6.87037,6.84179,136.99929,50.07946,9.3893,5.0,2.16,65279.53,1.8,3.67,-244072.01,2.29,2.06,3.68,0.13,5.28,165.59,1.7962
21,AAP,2020,999988000.0,1032984000.0,1010048000.0,0.44345,0.0742,0.04878,0.13851,0.04164,2.04869,1.32169,2.3262,0.08725,7.17142,7.14492,147.00531,51.77623,14.69203,6.0,-3.49,63543.58,1.2,8.31,725723.97,-3.41,1.55,8.11,-0.02,3.54,155.78,1.6305
22,AAWW,2010,496767000.0,487233000.0,586911000.0,0.46745,0.33968,0.106,0.13505,0.07325,4.13871,2.70378,0.84375,0.25166,5.50056,5.43583,51.88992,40.5897,22.76525,5.0,2.56,48466.66,1.6,9.63,178952.99,2.71,1.69,9.61,0.44,3.25,50.73,0.0
23,AAWW,2011,449098000.0,750016000.0,380525000.0,0.41485,0.28736,0.06872,0.08418,0.04019,3.96038,1.44444,1.09484,0.31368,3.66351,3.63648,53.31208,43.37179,14.5089,5.0,1.55,49882.56,3.2,8.95,123357.0,1.55,3.09,8.93,0.59,3.25,33.01,-0.3493
24,AAWW,2012,592820000.0,1304042000.0,606704000.0,0.45592,0.31629,0.07893,0.10087,0.04121,4.66958,1.92977,1.44754,0.41363,4.91794,4.89386,62.30486,48.61126,22.96468,6.0,2.25,51602.93,2.1,8.07,239066.01,2.28,1.82,8.08,0.63,3.25,52.17,0.0284
