Ticker,EBITDA,Total.Debt,Free.Cash.Flow,Gross.Profit.Margin,Operating.Margin,Net.Profit.Margin,Return.on.Equity,Return.on.Assets,Free.Cash.Flow.to.Net.Income,Current.Ratio,Liabilities.to.Equity.Ratio,Debt.Ratio,Earnings.Per.Share..Basic,Earnings.Per.Share..Diluted,Sales.Per.Share,Equity.Per.Share,Free.Cash.Flow.Per.Share,Dividends.Per.Share,Pietroski.F.Score,Economic growth: the rate of change of real GDP,GDP per capita current U.S. dollars,Inflation: percent change in the Consumer Price Index,Unemployment rate,Net portfolio equity inflows,Economic growth forecast,Inflation forecast,Unemployment rate forecast,Political stability index (-2.5 weak; 2.5 strong),1_year_results,3_year_results,6_year_results
WWE,30360000.0,29636000.0,-30770000.0,0.36408,0.0116,0.00544,0.01039,0.0073,-11.13242,2.43415,0.42307,0.07831,0.03688,0.03667,6.77845,3.54886,-0.4106,0.48011,4,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,-39.98,-19.79,25.67
WWW,298300000.0,1150000000.0,283600000.0,0.39839,0.08996,0.03731,0.11932,0.03829,2.8247,3.39508,2.11647,0.43856,1.00146,1.01477,26.84292,8.35481,2.82883,0.2364,8,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,14.0,-12.1,-49.8
WY,1106000000.0,5404000000.0,334000000.0,0.21202,0.0874,0.07444,0.07904,0.03704,0.61852,2.06206,1.13364,0.37072,0.95351,0.94531,12.80881,11.97361,0.58976,0.84933,7,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,14.12,13.74,-39.56
WYNN,1661142000.0,6587568000.0,1376779000.0,0.3811,0.22952,0.12963,5.50545,0.08698,1.88949,2.03967,62.29404,0.78638,7.24738,7.16888,55.90746,-1.83516,13.69384,10.29427,8,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,-39.96,-47.61,-68.49
X,798000000.0,3939000000.0,-518000000.0,0.08081,0.00654,-0.09441,-0.48726,-0.12516,0.31489,1.87304,2.89307,0.2997,-11.37794,-11.37794,120.51626,23.3438,-3.58284,0.20058,3,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,-10.29,14.9,-78.42
XEC,1511721000.0,924000000.0,156553000.0,0.7967,0.44836,0.28262,0.14039,0.07785,0.27724,0.68671,0.80327,0.12739,6.62097,6.62097,23.42711,47.1603,1.83558,0.5477,6,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,-2.66,-0.52,-86.26
XEL,2849398000.0,11950517000.0,32609000.0,0.52957,0.16927,0.08688,0.09913,0.02797,0.03439,0.88057,2.5446,0.35244,1.91148,1.90971,22.00265,19.28335,0.06573,1.03622,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,14.9,50.22,90.46
XLNX,833609000.0,1558871000.0,824844000.0,0.68804,0.31829,0.26459,0.22901,0.12514,1.30847,3.10013,0.82998,0.30946,2.36605,2.19345,8.94239,10.33169,3.0959,1.00342,6,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,-26.01,7.18,42.48
XOM,124794000000.0,22699000000.0,109190000000.0,0.3291,0.25361,0.07678,0.1805,0.09394,3.35144,0.82689,0.92143,0.06545,7.37271,7.37271,96.02353,39.3761,24.70921,2.46096,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,-11.17,-14.58,-60.75
XPO,-31500000.0,183700000.0,-96100000.0,0.16688,-0.07447,-0.06906,-0.10638,-0.06216,1.98144,1.71198,0.71134,0.23545,-1.23818,-1.23818,17.92935,10.54878,-2.45338,0.07659,3,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,63.89,63.57,104.79
XRAY,547100000.0,1476040000.0,440600000.0,0.53457,0.14206,0.10614,0.12149,0.06168,1.40677,1.43621,0.96978,0.29067,2.19481,2.16,20.67835,17.76491,3.0876,0.24387,6,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,10.76,36.59,-17.52
XRX,2879000000.0,8021000000.0,2340000000.0,0.3323,0.07603,0.05793,0.09077,0.03992,2.01898,1.49683,1.27412,0.27624,3.78299,3.64028,65.29981,40.14734,7.63779,0.96615,7,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,18.53,-34.19,-56.15
XYL,555000000.0,1241000000.0,459000000.0,0.39067,0.10555,0.05942,0.10174,0.04657,2.01316,2.35522,1.18474,0.25347,1.231,1.22556,20.71635,12.09939,2.47819,0.46972,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,-3.13,35.68,76.6
YUM,2734000000.0,2989000000.0,3378000000.0,0.52858,0.15385,0.08132,0.46914,0.12237,3.17481,0.74658,2.83377,0.34376,2.35398,2.30803,28.9469,4.79204,7.47345,1.36062,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,6.3,-14.65,-2.31
ZBH,1684400000.0,1672300000.0,1486900000.0,0.72602,0.28678,0.16879,0.12387,0.08146,1.9053,4.06912,0.52071,0.17455,4.60142,4.54249,27.26061,37.13031,8.7671,0.78066,5,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,24.85,28.96,5.07
ZEUS,78313000.0,199269000.0,93046000.0,0.14232,0.04332,0.00605,0.02561,0.01097,12.16765,2.52142,1.33527,0.28575,0.6911,0.69054,114.17361,26.98744,8.40904,0.07917,6,2.53,55049.99,1.6,6.17,154312.0,2.53,0.52,6.16,0.58,-52.26,-34.01,-66.81
